Hisse     Fiyat     Adet      Alis/Satis
TOASO     270,4     10        Alis
ALTIN     17,96     300       Alis
IMASM     18,52     146       Alis
TARKIM    107,5     2         Alis
AKENR     5,48      740       Satis
ASELS     41,94     54        Satis
ENKAI     34,76     60        Satis
KARTN     85,5      25        Satis
NTGAZ     18,5      149       Satis
TEZOL     20,92     139       Satis
SNGYO     3,33      827       Satis
SASA      53,8      51        Satis
THYAO     246,4     8         Satis
IMASM     18,63     146       Satis
ULUUN     37,8      71        Alis
KARTN     83,2      32        Alis
ENKAI     34,18     79        Alis
IMASM     18,31     147       Alis
PAPIL     32,5      83        Alis
PAMEL     153,1     18        Alis
PGSUS     861,8     3         Alis
FMIZP     182,3     15        Alis
SNGYO     3,28      817       Alis
ENJSA     55,1      40        Satis
KOPOL     61,9      12        Alis
KZGYO     47,66     42        Alis
EBEBK     46,5      5         Alis
ALTIN     18,02     300       Satis
USDTRF    2538,3    2         Satis
THYAO     234       12        Alis
HEKTS     25,56     106       Alis
CANTE     18,38     147       Alis
ASELS     41,4      65        Alis
GIPTA     20,9      8         Alis
KOPOL     73,00     42        Satis
ALTIN     17,9      280       Alis
TOASO     298,1     10        Satis
ADGYO     22,66     26        Alis
ENKAI     37,82     79        Satis
EBEBK     80        2         Satis
BYDNR     44,60     7         Satis
OFSYM     66,7      7         Satis
REEDR     9,3       46        Alis
TARKIM    230,2     1         Satis
HATSN     22,6      8         Alis
GIPTA     32,44     5         Satis
DMRGD     10,24     13        Alis
KARTN     84        32        Satis
SNGYO     3,29      817       Satis
PAPIL     32,98     83        Satis
PAMEL     155       18        Satis
IMASM     18,49     147       Satis
EKSUN     96,75     29        Satis
CANTE     19,7      147       Satis
TARKIM    306,3     1         Satis
AKFYE     18,8      173       Satis
GMTAS     9,88      238       Alis
KZGYO     30,86     23        Alis
ALTIN     17,41     1500      Satis
DOAS      276,1     10        Satis
ASELS     40,8      65        Satis
YYLGD     22,12     118       Satis
ULUUN     35,56     71        Satis
PGSUS     807,9     3         Satis
KZGYO     34,2      65        Satis
GMTAS     10,06     476       Satis
